Latitude,Longitude
41.89075126,-87.71617312
41.92062665,-87.69934677
41.88614694,-87.62452403
41.73748883,-87.61293055
41.9790063,-87.90646316
41.75039691,-87.65373544
41.87543874,-87.7121713
41.78162679,-87.64128444
41.94722576,-87.65552339
41.77440588,-87.63572735
41.75988444,-87.5972422
42.01409907,-87.81148471
41.80029208,-87.59308674
41.80890202,-87.59925259
41.93623507,-87.73817625
41.91987442,-87.6565037
41.8441437,-87.73237671
41.90731109,-87.71281022
41.76343502,-87.56529778
41.80604646,-87.66368172
41.85477039,-87.71242639
41.69235865,-87.62309675
41.85682744,-87.6700092
41.88705768,-87.64751474
41.78020418,-87.69464198
41.77832351,-87.57573767
41.74700817,-87.61238806
41.75536888,-87.56561019
41.73585717,-87.62415286
41.99159367,-87.656859
41.77804747,-87.58638773
41.77804747,-87.58638773
41.7789213,-87.70636492
41.88364197,-87.64857951
41.77240681,-87.73845039
41.70403449,-87.5632476
41.82792886,-87.67643502
41.90221669,-87.66470548
41.70281188,-87.62577948
41.90221669,-87.66470548
41.75771607,-87.60536685
41.77111603,-87.68210322
41.80208108,-87.69158602
41.88088468,-87.67785384
41.73934242,-87.66962578
41.89031518,-87.61960799
41.92637462,-87.72241505
41.94204082,-87.71258754
41.83778475,-87.71216859
41.96485729,-87.73712675
41.76744566,-87.69065567
41.77513983,-87.75287692
41.96277989,-87.73238461
41.74340379,-87.72771796
41.89085175,-87.62872868
41.96656477,-87.71493082
41.87327561,-87.73848164
41.89005157,-87.62891376
41.89856135,-87.75846775
41.74788236,-87.64760186
41.92415876,-87.6994
41.75592903,-87.65738973
41.86963928,-87.62747473
41.90348156,-87.7321659
41.80295337,-87.61943037
41.75870572,-87.5927512
41.85821325,-87.72244018
41.95336051,-87.66418959
41.88364197,-87.64857951
41.95010009,-87.6506221
41.97310269,-87.68530104
41.85679041,-87.70842407
41.70281188,-87.62577948
41.92254532,-87.73576439
41.68402946,-87.53525327
41.92003909,-87.71591303
41.79155605,-87.65237676
41.79592425,-87.69874364
41.80847026,-87.61385613
41.71705137,-87.63823796
41.7647704,-87.63342717
41.8519106,-87.67828922
41.74059143,-87.64496432
41.79357171,-87.63297457
41.65823452,-87.53868236
41.86902031,-87.68299027
41.75739062,-87.62798408
41.91621134,-87.72163753
41.89940827,-87.68509899
41.97077465,-87.70487314
41.93226674,-87.64899682
41.92886302,-87.76615927
41.84890571,-87.69536478
41.71931551,-87.63103058
41.92419631,-87.66206917
42.0052666,-87.69495294
41.92756033,-87.64165708
41.90270859,-87.76689038
41.90393322,-87.62912854
41.93622726,-87.656974
41.89301163,-87.6875657
