ID,Case Number,Date,Block,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Updated On,Latitude,Longitude
23326,JA288456,6/1/2017 19:02,011XX N HAMLIN AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1112,11,27,23,2017,6/8/2017 15:47,41.90162444,-87.72139475
23327,JA284350,6/1/2017 17:39,015XX E 74TH ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,324,3,5,43,2017,6/8/2017 15:47,41.76057887,-87.58747368
23330,JA289620,6/2/2017 15:51,002XX W 95TH ST,FIRST DEGREE MURDER,PARK PROPERTY,FALSE,FALSE,634,6,21,49,2017,6/9/2017 15:57,41.72163541,-87.63028736
23329,JA289444,6/2/2017 13:45,078XX S CHAMPLAIN AVE,FIRST DEGREE MURDER,HALLWAY,TRUE,FALSE,624,6,6,69,2017,7/22/2017 15:50,41.75227175,-87.60889892
23332,JA290857,6/3/2017 19:42,054XX W CORTEZ ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1524,15,37,25,2017,6/10/2017 15:49,41.8994399,-87.76239755
23333,JA288087,6/3/2017 20:00,055XX W CONGRESS PKWY,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1522,15,29,25,2017,6/10/2017 15:49,41.87384911,-87.76281261
23331,JA290782,6/3/2017 12:37,061XX S THROOP ST,FIRST DEGREE MURDER,STREET,TRUE,FALSE,713,7,16,67,2017,6/14/2017 15:53,41.78224798,-87.65711704
23335,JA291720,6/4/2017 3:55,002XX N LEAVITT ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1223,12,27,28,2017,6/11/2017 15:48,41.88511312,-87.68163356
23336,JA291724,6/4/2017 7:04,018XX W MAYPOLE AVE,FIRST DEGREE MURDER,PARKING LOT,TRUE,FALSE,1223,12,27,28,2017,7/13/2017 15:51,41.8841519,-87.67285913
23337,JA292115,6/4/2017 12:26,025XX W LYNDALE ST,FIRST DEGREE MURDER,STREET,TRUE,TRUE,1431,14,1,22,2017,7/20/2017 15:53,41.92244095,-87.69200182
23339,JA294091,6/5/2017 19:34,041XX W POTOMAC AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2534,25,37,23,2017,6/12/2017 15:54,41.904417,-87.73000813
23340,JA294107,6/5/2017 19:58,044XX S SHIELDS AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,925,9,3,37,2017,6/12/2017 15:54,41.81334884,-87.63462997
23338,JA293479,6/5/2017 13:12,089XX S COTTAGE GROVE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,633,6,8,44,2017,6/13/2017 15:50,41.73179465,-87.6047034
23341,JA295090,6/6/2017 15:51,058XX S SHIELDS AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,711,7,20,68,2017,6/13/2017 15:52,41.78801005,-87.63403981
23342,JA295735,6/6/2017 22:02,079XX S WABASH AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,623,6,6,44,2017,6/13/2017 15:52,41.75024379,-87.62297575
23343,JA296110,6/7/2017 9:20,012XX S LAWNDALE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1011,10,24,29,2017,6/14/2017 15:55,41.86547466,-87.71783338
23344,JA296110,6/7/2017 9:32,012XX S LAWNDALE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1011,10,24,29,2017,6/14/2017 15:55,41.86547466,-87.71783338
23345,JA296790,6/7/2017 18:33,018XX E 79TH ST,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,414,4,8,46,2017,6/14/2017 15:55,41.75154687,-87.58066287
23346,JA298661,6/8/2017 22:23,062XX S INGLESIDE AVE,FIRST DEGREE MURDER,PARKING LOT,FALSE,FALSE,313,3,20,42,2017,6/15/2017 15:50,41.7816157,-87.60270606
23347,JA297445,6/8/2017 3:48,021XX W 54TH ST,FIRST DEGREE MURDER,HOUSE,FALSE,TRUE,932,9,16,61,2017,6/15/2017 15:50,41.79572268,-87.67751213
23348,JA297892,6/8/2017 19:00,046XX S TROY ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,922,9,14,58,2017,6/15/2017 15:50,41.80913282,-87.70279119
23349,JA299873,6/9/2017 19:28,057XX W BELDEN AVE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,2515,25,37,19,2017,6/16/2017 15:52,41.92209493,-87.76989372
23350,JA299740,6/9/2017 18:52,054XX W LE MOYNE ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2532,25,37,25,2017,6/16/2017 15:52,41.90760517,-87.76262971
23352,JA301625,6/11/2017 2:04,010XX N MONTICELLO AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1112,11,27,23,2017,6/18/2017 15:50,41.89979612,-87.71767654
23353,JA301701,6/11/2017 3:17,053XX S SEELEY AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,932,9,16,61,2017,6/18/2017 15:50,41.79635384,-87.67558769
23354,JA301760,6/11/2017 7:05,014XX S AVERS AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1011,10,24,29,2017,6/18/2017 15:50,41.86184654,-87.72138871
23355,JA302423,6/11/2017 18:48,047XX S WINCHESTER AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,931,9,20,61,2017,6/18/2017 15:50,41.80752727,-87.67344871
23351,JA297357,6/11/2017 1:31,028XX W 59TH ST,FIRST DEGREE MURDER,ALLEY,TRUE,FALSE,824,8,16,63,2017,6/22/2017 15:53,41.78637952,-87.69525904
23356,JA302864,6/11/2017 22:46,046XX N BEACON ST,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,1913,19,46,3,2017,6/18/2017 15:50,41.96604284,-87.66395025
23357,JA303240,6/12/2017 9:21,068XX S WABASH AVE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,322,3,20,69,2017,6/19/2017 15:53,41.7703623,-87.62342834
23358,JA303694,6/12/2017 16:15,013XX S KOSTNER AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1011,10,24,29,2017,6/19/2017 15:53,41.86328428,-87.7348811
23359,JA304422,6/12/2017 23:11,059XX S PULASKI RD,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,822,8,13,65,2017,6/19/2017 15:53,41.78539657,-87.72294491
23360,JA304301,6/12/2017 23:59,083XX S ELIZABETH ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,613,6,21,71,2017,6/19/2017 15:53,41.74253765,-87.65473804
23361,JA304394,6/12/2017 23:49,047XX W SUPERIOR ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1111,11,28,25,2017,6/19/2017 15:53,41.89407954,-87.7442975
23362,JA305160,6/13/2017 14:18,081XX S KEDZIE AVE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,835,8,18,70,2017,6/20/2017 15:51,41.74530312,-87.70226916
23363,JA305313,6/13/2017 16:27,056XX W BLOOMINGDALE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2531,25,29,25,2017,6/20/2017 15:51,41.9126611,-87.76616312
23364,JA305578,6/13/2017 18:37,050XX S DREXEL BLVD,FIRST DEGREE MURDER,GANGWAY,FALSE,FALSE,222,2,4,39,2017,6/20/2017 15:51,41.80326105,-87.60375856
23365,JA303694,6/13/2017 11:57,013XX S KOSTNER AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1011,10,24,29,2017,6/20/2017 15:51,41.86328428,-87.7348811
23366,JA306014,6/14/2017 4:05,064XX S MARYLAND AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,312,3,20,42,2017,6/21/2017 15:52,41.77733863,-87.60463537
23367,JA308338,6/15/2017 17:40,068XX S HERMITAGE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,725,7,17,67,2017,6/22/2017 15:56,41.76987204,-87.66759558
23368,JA308868,6/15/2017 23:28,011XX N MASON AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1511,15,29,25,2017,6/22/2017 15:56,41.90065011,-87.77410819
23369,JA309693,6/16/2017 18:36,070XX S STATE ST,FIRST DEGREE MURDER,PARKING LOT,FALSE,FALSE,322,3,6,69,2017,6/23/2017 15:52,41.76624691,-87.62493262
23370,JA309481,6/16/2017 14:20,080XX S ELLIS AVE,FIRST DEGREE MURDER,VESTIBULE,FALSE,FALSE,631,6,8,44,2017,6/23/2017 15:52,41.74873721,-87.60026458
23371,JA310371,6/16/2017 23:54,059XX S UNION AVE,FIRST DEGREE MURDER,YARD,FALSE,FALSE,711,7,20,68,2017,6/23/2017 15:52,41.78612933,-87.64251204
23372,JA311389,6/17/2017 19:17,048XX S RACINE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,933,9,20,61,2017,6/24/2017 15:50,41.80634513,-87.65518382
23375,JA311797,6/18/2017 1:20,014XX N LECLAIRE AVE,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,2533,25,37,25,2017,6/25/2017 15:51,41.90643114,-87.75341942
23376,JA311797,6/18/2017 2:15,014XX N LECLAIRE AVE,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,2533,25,37,25,2017,6/25/2017 15:51,41.90643114,-87.75341942
23377,JA311933,6/18/2017 17:24,035XX W HURON ST,FIRST DEGREE MURDER,YARD,FALSE,FALSE,1121,11,27,23,2017,6/25/2017 15:51,41.89364756,-87.71434186
23378,JA312686,6/18/2017 19:56,012XX S AVERS AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1011,10,24,29,2017,6/25/2017 15:51,41.86572752,-87.72150223
23379,JA312425,6/18/2017 16:23,006XX E 82ND ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,631,6,6,44,2017,6/25/2017 15:51,41.74574689,-87.60820275
23373,JA311863,6/18/2017 3:13,004XX E OHIO ST,FIRST DEGREE MURDER,DRIVEWAY,TRUE,FALSE,1834,18,42,8,2017,8/24/2017 15:54,41.89266718,-87.61611467
23374,JA311796,6/18/2017 1:26,025XX S HOMAN AVE,FIRST DEGREE MURDER,APARTMENT,TRUE,TRUE,1024,10,22,30,2017,8/29/2017 15:53,41.845366,-87.7099299
23380,JA313042,6/19/2017 2:11,018XX S KILDARE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1012,10,24,29,2017,6/26/2017 16:00,41.85589824,-87.73254198
23381,JA313073,6/19/2017 3:05,010XX N LAWNDALE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1112,11,27,23,2017,6/26/2017 16:00,41.89981911,-87.71889583
23382,JA315760,6/20/2017 21:05,002XX S HOYNE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1225,12,2,28,2017,6/27/2017 15:51,41.87841598,-87.67901371
23383,JA315992,6/21/2017 1:45,045XX S LECLAIRE AVE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,814,8,23,56,2017,6/28/2017 15:55,41.81051581,-87.7505732
23385,JA316625,6/21/2017 14:35,070XX S PARNELL AVE,FIRST DEGREE MURDER,APARTMENT,FALSE,FALSE,732,7,6,68,2017,6/28/2017 15:55,41.76634276,-87.63838062
23386,JA311215,6/21/2017 10:30,055XX S SHIELDS AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,711,7,3,68,2017,6/28/2017 15:55,41.79354861,-87.6341373
23384,JA316043,6/21/2017 4:30,088XX S CHICAGO SKYWAY OB,FIRST DEGREE MURDER,STREET,TRUE,TRUE,412,4,8,48,2017,8/24/2017 15:54,41.73527711,-87.56632215
23387,JA317382,6/22/2017 1:23,035XX W HURON ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1121,11,27,23,2017,6/29/2017 15:52,41.89364708,-87.71425371
23388,JA319798,6/23/2017 21:28,047XX W WEST END AVE,FIRST DEGREE MURDER,PORCH,FALSE,FALSE,1113,11,28,25,2017,6/30/2017 15:55,41.88314645,-87.74375896
23390,JA321035,6/24/2017 17:53,012XX N LARAMIE AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,2532,25,37,25,2017,7/1/2017 15:47,41.90265052,-87.75578256
23409,JA118443,1/17/2017 0:30,071XX S SOUTH SHORE DR,FIRST DEGREE MURDER,APARTMENT,TRUE,FALSE,334,3,7,43,2017,7/1/2017 15:47,,
23389,JA320296,6/24/2017 5:27,016XX N MENARD AVE,FIRST DEGREE MURDER,HOUSE,TRUE,TRUE,2531,25,29,25,2017,7/15/2017 15:49,41.91018425,-87.77031075
23391,JA321550,6/25/2017 3:45,079XX S BRANDON AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,422,4,7,46,2017,7/2/2017 15:55,41.75122969,-87.54683016
23408,JA255962,6/12/2017 8:48,077XX S STATE ST,FIRST DEGREE MURDER,CAR WASH,FALSE,FALSE,623,6,6,69,2017,7/3/2017 15:46,41.75413721,-87.62463334
23412,JA320110,6/22/2017 22:20,058XX W OHIO ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,1511,15,29,25,2017,7/3/2017 15:46,41.89104254,-87.77074331
23393,JA324031,6/26/2017 22:52,054XX S BISHOP ST,FIRST DEGREE MURDER,STREET,FALSE,FALSE,934,9,16,61,2017,7/3/2017 15:48,41.79539384,-87.66097984
23394,JA323771,6/26/2017 19:27,079XX S RIDGELAND AVE,FIRST DEGREE MURDER,STREET,TRUE,FALSE,414,4,8,46,2017,7/3/2017 15:48,41.75085912,-87.58166404
23395,JA323893,6/26/2017 21:16,010XX W 103RD PL,FIRST DEGREE MURDER,YARD,FALSE,FALSE,2232,22,34,73,2017,7/3/2017 15:48,41.7059567,-87.64839912
23396,JA323904,6/26/2017 20:23,048XX W GLADYS AVE,FIRST DEGREE MURDER,AUTO,FALSE,FALSE,1533,15,24,25,2017,7/3/2017 15:48,41.87586313,-87.7464219
23397,JA324296,6/27/2017 8:10,064XX S INGLESIDE AVE,FIRST DEGREE MURDER,ALLEY,FALSE,FALSE,314,3,20,42,2017,7/4/2017 15:50,41.77782708,-87.60160886
23398,JA325031,6/27/2017 17:44,066XX S UNIVERSITY AVE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,321,3,5,42,2017,7/4/2017 15:50,41.7745827,-87.59850026
